Iteration,Distance_to_True_x,Distance_to_Optimal_x
139,0.24707752104630745,0.20209473842772385
140,0.243558504913747,0.19859352456214763
141,0.24007238393924366,0.19512386469390544
142,0.23661852111060494,0.19168376126554038
143,0.23319496127976225,0.18827200993678767
144,0.22980007834707722,0.1848877957839585
145,0.22643330200789,0.18153089843360368
146,0.22309502596358013,0.17820181557236975
147,0.2197843297469067,0.17490021941715217
148,0.21650049217545705,0.17162585157249988
149,0.21324509903635325,0.16838005873444306
150,0.21001912785802082,0.16516387413714706
151,0.20682175767708602,0.16197694955940165
152,0.2036522469681186,0.15881838776729934
153,0.20051457815235404,0.1556900497042892
154,0.19741205204942652,0.1525930186202217
155,0.19434420880376835,0.14952727595219098
156,0.1913097008771774,0.14649200094560816
157,0.1883116251819479,0.14348920097844817
158,0.18535377242484602,0.14052212235119127
